created_at,entry_id,field1,field2,field3,field4,field5
2017-06-30 09:27:56 UTC,335313,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:29:02 UTC,335314,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:30:07 UTC,335315,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:32:18 UTC,335316,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:33:22 UTC,335317,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:34:28 UTC,335318,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:35:33 UTC,335319,315.00,0.00,0.45,0.00,0.00
2017-06-30 09:36:38 UTC,335320,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:37:44 UTC,335321,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:38:49 UTC,335322,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:39:54 UTC,335323,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:41:01 UTC,335324,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:42:05 UTC,335325,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:43:10 UTC,335326,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:44:15 UTC,335327,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:45:21 UTC,335328,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:46:26 UTC,335329,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:47:31 UTC,335330,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:48:37 UTC,335331,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:49:42 UTC,335332,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:50:47 UTC,335333,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:51:53 UTC,335334,180.00,0.00,0.45,0.00,0.00
2017-06-30 09:52:57 UTC,335335,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:54:03 UTC,335336,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:55:09 UTC,335337,225.00,0.00,0.45,0.00,0.00
2017-06-30 09:56:14 UTC,335338,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:57:18 UTC,335339,315.00,0.00,0.45,0.00,0.00
2017-06-30 09:58:24 UTC,335340,270.00,0.00,0.45,0.00,0.00
2017-06-30 09:59:29 UTC,335341,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:00:34 UTC,335342,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:01:40 UTC,335343,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:02:45 UTC,335344,270.00,0.00,0.89,0.00,0.00
2017-06-30 10:03:50 UTC,335345,225.00,0.00,0.89,0.00,0.00
2017-06-30 10:04:55 UTC,335346,270.00,0.00,0.89,0.00,0.00
2017-06-30 10:06:01 UTC,335347,225.00,0.00,0.89,0.00,0.00
2017-06-30 10:07:06 UTC,335348,270.00,0.00,0.89,0.00,0.00
2017-06-30 10:08:11 UTC,335349,270.00,0.00,0.89,0.00,0.00
2017-06-30 10:09:18 UTC,335350,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:10:24 UTC,335351,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:11:27 UTC,335352,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:12:33 UTC,335353,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:13:38 UTC,335354,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:14:43 UTC,335355,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:15:48 UTC,335356,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:16:53 UTC,335357,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:17:59 UTC,335358,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:19:04 UTC,335359,270.00,0.00,0.45,0.00,0.00
2017-06-30 10:20:10 UTC,335360,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:21:16 UTC,335361,225.00,0.00,0.45,0.00,0.00
2017-06-30 10:22:20 UTC,335362,225.00,0.00,0.45,0.00,0.00
